1 1:2 2:0.949985 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950077 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.95019 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950223 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.95036 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950652 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950836 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950738 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950679 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950662 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950734 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950826 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950909 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950943 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950888 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.95083 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950747 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950674 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.95062 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950516 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950427 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950324 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950119 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.949867 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950002 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950096 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950053 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950127 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950276 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950449 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.95079 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950488 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950424 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.950163 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.949984 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.949795 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.949641 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.949695 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.949458 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.949333 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.949153 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.948686 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.948397 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.948212 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.947676 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.94741 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.947217 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
1 1:2 2:0.946878 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 13:0 14:0 15:0 16:0 17:0 18:0 19:0 20:0 21:0 22:0 
